,property_id,property_label,person_count,rank,coverage_%
443,P8122,DLL Catalog author ID,1,444,0.1
444,P7039,National Library of Iceland ID,1,445,0.1
445,P8870,Hyperion Records person ID,1,446,0.1
446,P1617,BBC Things ID,1,447,0.1
447,P3218,Auñamendi ID,1,448,0.1
448,P9179,Biblioteca Iglesia Nacional Española en Roma ID,1,449,0.1
449,P7550,Paralympic.org sportsperson ID,1,450,0.1
450,P3882,Tilastopaja female athlete ID,1,451,0.1
451,P6734,Archaeology Data Service person ID,1,452,0.1
452,P3942,UCI BMX Supercross World Cup Results rider ID,1,453,0.1
453,P2697,ESPNcricinfo.com player ID,1,454,0.1
454,P2698,CricketArchive player ID,1,455,0.1
455,P2818,Sherdog fighter ID,1,456,0.1
456,P9722,UFC athlete ID,1,457,0.1
457,P9728,Tapology fighter ID,1,458,0.1
458,P7466,Edvard Munch's correspondence person ID,1,459,0.1
459,P3388,LittleSis people ID,1,460,0.1
460,P3919,contributed to creative work,1,461,0.1
461,P10449,trained by,1,462,0.1
462,P1347,military casualty classification,1,463,0.1
463,P1142,political ideology,1,464,0.1
464,P3136,elCinema person ID,1,465,0.1
465,P4319,Elite Prospects staff ID,1,466,0.1
466,P5297,Companies House officer ID,1,467,0.1
467,P2350,SpeedSkatingBase.eu ID (archived),1,468,0.1
468,P3695,SpeedSkatingStats speed skater ID,1,469,0.1
469,P3694,SpeedSkatingNews.info speed skater ID,1,470,0.1
470,P4576,Tidal artist ID,1,471,0.1
471,P7085,TikTok username,1,472,0.1
472,P6276,Amazon Music artist ID,1,473,0.1
473,P6517,WhoSampled artist ID,1,474,0.1
474,P3192,Last.fm ID,1,475,0.1
475,P8415,Maniadb artist ID,1,476,0.1
476,P5917,Shazam artist ID,1,477,0.1
477,P3536,euroleague.net player ID,1,478,0.1
478,P7084,related category,1,479,0.1
479,P1415,Oxford Dictionary of National Biography ID,1,480,0.1
480,P7430,Dictionary of Sculptors in Britain ID,1,481,0.1
481,P1050,medical condition,1,482,0.1
482,P4023,German Football Association person ID,1,483,0.1
483,P8826,edition humboldt digital ID,1,484,0.1
484,P640,Léonore ID,1,485,0.1
485,P11152,Léonore Web ID,1,486,0.1
486,P7360,UEFA coach ID (archived),1,487,0.1
487,P2533,WomenWriters ID,1,488,0.1
488,P8332,Dansk litteraturs historie ID,1,489,0.1
489,P4657,The Numbers person ID,1,490,0.1
490,P5247,Giant Bomb ID (former scheme),1,491,0.1
491,P8125,Fandango person ID,1,492,0.1
492,P2632,place of detention,1,493,0.1
493,P4779,MYmovies actor ID (former scheme),1,494,0.1
494,P9152,CollectieGelderland creator ID,1,495,0.1
495,P10069,Tabakalera ID,1,496,0.1
496,P2778,IAT triathlete ID,1,497,0.1
497,P3150,birthday,1,498,0.1
498,P8385,IDU person ID,1,499,0.1
499,P7498,Women Film Pioneers ID,1,500,0.1
500,P12076,Nordic Women in Film-ID,1,501,0.1
501,P7837,Nederlands Fotomuseum photographer ID,1,502,0.1
502,P1186,MEP directory ID,1,503,0.1
503,P6232,Danske Taler speaker ID,1,504,0.1
504,P4033,Mastodon address,1,505,0.1
505,P1019,web feed URL,1,506,0.1
506,P175,performer,1,507,0.1
507,P725,voice actor,1,508,0.1
508,P4584,first appearance,1,509,0.1
509,P1080,from narrative universe,1,510,0.1
510,P5800,narrative role,1,511,0.1
511,P8839,hair style / hair length,1,512,0.1
512,P6231,BDELIS ID,1,513,0.1
513,P1938,Project Gutenberg author ID,1,514,0.1
514,P8795,Diamond Catalog ID for persons and organisations,1,515,0.1
515,P8851,CONOR.SR ID,1,516,0.1
516,P10141,Academy of Athens authority ID,1,517,0.1
517,P11156,MMB ID,1,518,0.1
518,P4012,Semantic Scholar author ID,1,519,0.1
519,P1233,ISFDB author ID,1,520,0.1
520,P13437,Chtyvo author ID,1,521,0.1
521,P3699,Transfermarkt referee ID,1,522,0.1
522,P13766,Ophardt Team Sportevent person ID,1,523,0.1
523,P4481,INDUCKS creator ID,1,524,0.1
524,P1392,ComicBookDB Creator ID,1,525,0.1
525,P5491,BD Gest' author ID,1,526,0.1
526,P13724,‎Cyclocross24 rider ID,1,527,0.1
527,P11963,Global Sports Archive person ID,1,528,0.1
528,P1596,penalty,1,529,0.1
529,P9044,GEPRIS Historisch person ID,1,530,0.1
530,P8214,curriculum vitae URL,1,531,0.1
531,P2607,BookBrainz author ID,1,532,0.1
532,P10299,Leopoldina member ID (new),1,533,0.1
533,P9001,Literary Encyclopedia ID,1,534,0.1
534,P12404,Kalliope.org author ID,1,535,0.1
535,P12614,az.lib.ru author ID,1,536,0.1
